SortOrder,Tblname,AttributeLabel,AttributeDescription,AttributeUnit
1,EMRI_Data,Lab_ID,Unique identifier assigned to each submitted sample by USGS Analytical Chemistry Sample Control,
2,EMRI_Data,Field_ID,The identifier originally assigned to a sample by collecting party or sample submitter.  Field_ID values may not be unique in this database.,
3,EMRI_Data,Prev_Lab_ID,The unique identifier previously assigned to a sample when analyzed earlier and the ID by which the sample is identified in the USGS National Sample Archive.,
4,EMRI_Data,IGSN,"Unique International Geo Sample Number (IGSN; https://www.igsn.org) assigned by the System for Earth Sample Registration (SESAR, http://www.geosamples.org) or another Allocating Agent",
5,EMRI_Data,Parent_IGSN,"The IGSN identifier assigned to the parent sample, if any, from which material was sub-sampled",
6,EMRI_Data,Ref_Flag,A 'yes'/'no' field that identifies whether the sample is Geologic Reference Material (GRM). USGS GRMs are identified by name in the QAQC field. Submitter supplied Reference Materials may be also flagged here. All GRMs were submitted blind to the analytical laboratory.,
7,EMRI_Data,QAQC_Sample,Identification of samples used for quality assessment and quality control (QAQC). Contains either the name of the USGS Geologic Reference Material used or an indication of an analytical sample duplicate pair. 'Original' and 'Duplicate' = an actual sample and a second analysis of that same sample.,
8,EMRI_Data,Job_ID,Unique laboratory job identifier assigned by USGS Analytical Chemistry Sample Control. Jobs consist of a maximum of 50 samples.,
9,EMRI_Data,PID,Unique identifier for each Earth MRI project as known to the program managers,
10,EMRI_Data,Proj_Name,Earth MRI project name,
11,EMRI_Data,Affiliation,Name of affiliated or collaborating agency associated with the Proj_Name,
12,EMRI_Data,Date_Submitted,Date when sample was submitted for analysis; a date field with format DD-MMM-YY,dd-mmm-yy
13,EMRI_Data,Date_Approved,Date when sample analytical data were approved for release by a USGS Analytical Chemistry QC Reviewer; a date field with format DD-MMM-YY,dd-mmm-yy
14,EMRI_Data,Lat_WGS84,"Latitude coordinate of sample site, reported in decimal degrees; converted, if necessary, to WGS84 datum",Decimal degrees
15,EMRI_Data,Long_WGS84,"Longitude coordinate of sample site, reported in decimal degrees; converted, if necessary, to WGS84 datum",Decimal degrees
16,EMRI_Data,Orig_Lat,"Latitude coordinate of sample site, in decimal degrees, as originally reported by the submitter; see Orig_Datum for the associated coordinate datum",Decimal degrees
17,EMRI_Data,Orig_Long,"Longitude coordinate of sample site, in decimal degrees, as originally reported by the submitter; see Orig_Datum for the associated coordinate datum",Decimal degrees
18,EMRI_Data,Orig_Datum,The datum used to record the Orig_Lat and Orig_Long coordinates as originally reported by the submitter,
19,EMRI_Data,Country,Country in which the sample was collected,
20,EMRI_Data,State,Abbreviation of state from which the sample was collected; USPS 2-letter code,
21,EMRI_Data,Location_Desc,Geographic information relating to the location of the sample site,
22,EMRI_Data,Sample_Type,"Primary sample media classification; rock, sediment, or soil",
23,EMRI_Data,Sample_Desc,Further description and comments regarding the sample as reported by the sample submitter and without any editing,
24,EMRI_Data,Date_Collected,"Date sample was collected as reported by the sample submitter, a text field with format M/D/YYYY or YYYY",m/d/yyyy or yyyy
25,EMRI_Data,Method_Collected,The manner in which the sample was collected; 'single/grab' = a sample collected without any attempt to composite material for representivity. 'composite' = a sample collected by compositing multiple subsamples with the intent to homogenize material and to be representative of a larger body. 'channel' = a composite sample collected over a continuous distance,
26,EMRI_Data,Sample_Source,Physical setting or environment from which the sample was collected,
27,EMRI_Data,Sample_Depth,Depth or range of depths at which the sample was collected; the unit for each measurement should be included with the depth value,
28,EMRI_Data,Rock_Type,"The general rock classification; valid entries include 'igneous', 'sedimentary', 'metamorphic', 'tectonite', 'ore', 'miscellaneous', and 'unidentified'",
29,EMRI_Data,Rock_Name,The specific rock name.  Textural and mineral rock name modifiers should be given in the Sample_Desc field.,
30,EMRI_Data,Geologic_Age,Geologic age or age range for a rock sample,
31,EMRI_Data,Stratigraphy,"Formal or informal stratigraphic name of the Formation, Unit, or Member from which the sample was collected as reported by the sample submitter. No effort was made to ensure that entries conform to the North American Stratigraphic Code or other stratigraphic lexicons (https://ngmdb.usgs.gov/Geolex/stratres).",
32,EMRI_Data,Igneous_Form,The type of igneous body from which the sample was collected; used only for igneous rock samples,
33,EMRI_Data,Depositional_Env,"General depositional environment for a sedimentary rock; valid values include 'marine', 'continental', and 'transitional'",
34,EMRI_Data,Metamorphism,"General type of metamorphism for a metamorphic rock; valid values include 'regional', 'contact', 'hydrothermal', and 'shear'",
35,EMRI_Data,Facies_Grade,Metamorphic facies or grade; used only for metamorphic rock samples,
36,EMRI_Data,Meta_SourceRk,The original general rock type from which a metamorphic rock was derived; valid values include 'igneous' and 'sedimentary',
37,EMRI_Data,Mineralization,Type of mineralization identified in a rock,
38,EMRI_Data,Alteration,Type of alteration identified in a rock,
39,EMRI_Data,Land_Cover,Sample environment or 'Land Cover' from which a soil sample was collected,
40,EMRI_Data,Soil_Parent,Parent material from which a sampled soil developed,
41,EMRI_Data,Soil_Horizon,Soil horizon that was sampled,
42,EMRI_Data,Horizon_Char,"A characterization of how well the sampled soil horizon was defined; valid values include 'well defined', 'poorly defined', or 'not defined'",
43,EMRI_Data,Organic_Conc,A general observation on the amount of organic material found in the sampled soil,
44,EMRI_Data,Soil_Moisture,A general observation on the amount of moisture observed at the soil sample site,
45,EMRI_Data,Soil_Drainage,An indication of how well drained the soil sample site is; valid values include 'well drained' or 'poorly drained',
46,EMRI_Data,Soil_Salinity,Soil salinity: valid values include 'saline' and 'non-saline',
47,EMRI_Data,Ferritic_Char,The ferritic character of the sample soil: valid values include 'ferritic' and 'non-ferritic',
48,EMRI_Data,Sample_Prep,A description of the sample preparation method used,
49,EMRI_Data,Analytic_Mthds,Laboratory codes for the analytical methods used to analyze the sample. Multiple laboratory codes separated by semicolons.,
50,EMRI_Data,Al_pct_ICP60,"Aluminum, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-25% Al. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
51,EMRI_Data,Ca_pct_ICP60,"Calcium, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-35% Ca. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
52,EMRI_Data,Fe_pct_ICP60,"Iron, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-30% Fe. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
53,EMRI_Data,K_pct_ICP60,"Potassium, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-25% K. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
54,EMRI_Data,Mg_pct_ICP60,"Magnesium, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-30% Mg. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
55,EMRI_Data,P_pct_ICP60,"Phosphorous, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-25% P. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
56,EMRI_Data,S_pct_ICP60,"Sulfur, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.1-40% S. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
