SortOrder,Analytic_Mthds,Constituent,LowerDetectLimit,UpperDetectLimit,LowerDL2,UpperDL2,Unit,Instrument,Retired Date
1,C_ICPOES_MS-60,Al,0.01,25,,,%,ICP-OES,
2,C_ICPOES_MS-60,Ca,0.01,35,,,%,ICP-OES,
3,C_ICPOES_MS-60,Fe,0.01,30,,,%,ICP-OES,
4,C_ICPOES_MS-60,K,0.01,25,,,%,ICP-OES,
5,C_ICPOES_MS-60,Mg,0.01,30,,,%,ICP-OES,
6,C_ICPOES_MS-60,P,0.01,25,,,%,ICP-OES,
7,C_ICPOES_MS-60,S,0.1,40,,,%,ICP-OES,
8,C_ICPOES_MS-60,Si,0.01,40,,,%,ICP-OES,
9,C_ICPOES_MS-60,Ti,0.01,25,,,%,ICP-OES,
10,C_ICPOES_MS-60,Ag,1,1000,,,ppm,ICP-MS,
11,C_ICPOES_MS-60,As,5,100000,,,ppm,ICP-MS,
12,C_ICPOES_MS-60,B,10,10000,,,ppm,ICP-MS,
13,C_ICPOES_MS-60,Ba,0.5,10000,,,ppm,ICP-OES,
14,C_ICPOES_MS-60,Be,5,2500,,,ppm,ICP-OES,
15,C_ICPOES_MS-60,Bi,0.1,1000,,,ppm,ICP-MS,
16,C_ICPOES_MS-60,Cd,0.2,10000,,,ppm,ICP-MS,
17,C_ICPOES_MS-60,Ce,0.1,10000,,,ppm,ICP-MS,
18,C_ICPOES_MS-60,Co,0.5,10000,,,ppm,ICP-MS,
19,C_ICPOES_MS-60,Cr,10,100000,,,ppm,ICP-OES,
20,C_ICPOES_MS-60,Cs,0.1,10000,,,ppm,ICP-MS,
21,C_ICPOES_MS-60,Cu,5,50000,,,ppm,ICP-OES,
22,C_ICPOES_MS-60,Dy,0.05,1000,,,ppm,ICP-MS,
23,C_ICPOES_MS-60,Er,0.05,1000,,,ppm,ICP-MS,
24,C_ICPOES_MS-60,Eu,0.05,1000,,,ppm,ICP-MS,
25,C_ICPOES_MS-60,Ga,0.01,1000,,,ppm,ICP-MS,
