SortOrder,GRM,ValueType,Al_pct_ICP60,Ca_pct_ICP60,Fe_pct_ICP60,K_pct_ICP60,Mg_pct_ICP60,P_pct_ICP60,S_pct_ICP60,Si_pct_ICP60,Ti_pct_ICP60,Ag_ppm_ICP60,As_ppm_ICP60,B_ppm_ICP60,Ba_ppm_ICP60,Be_ppm_ICP60,Bi_ppm_ICP60,Cd_ppm_ICP60,Ce_ppm_ICP60,Co_ppm_ICP60,Cr_ppm_ICP60,Cs_ppm_ICP60,Cu_ppm_ICP60,Dy_ppm_ICP60,Er_ppm_ICP60,Eu_ppm_ICP60,Ga_ppm_ICP60,Gd_ppm_ICP60,Ge_ppm_ICP60,Hf_ppm_ICP60,Ho_ppm_ICP60,In_ppm_ICP60,La_ppm_ICP60,Li_ppm_ICP60,Lu_ppm_ICP60,Mn_ppm_ICP60,Mo_ppm_ICP60,Nb_ppm_ICP60,Nd_ppm_ICP60,Ni_ppm_ICP60,Pb_ppm_ICP60,Pr_ppm_ICP60,Rb_ppm_ICP60,Re_ppm_ICP60,Sb_ppm_ICP60,Sc_ppm_ICP60,Se_ppm_ICP60,Sm_ppm_ICP60,Sn_ppm_ICP60,Sr_ppm_ICP60,Ta_ppm_ICP60,Tb_ppm_ICP60,Te_ppm_ICP60,Th_ppm_ICP60,Tl_ppm_ICP60,Tm_ppm_ICP60,U_ppm_ICP60,V_ppm_ICP60,W_ppm_ICP60,Y_ppm_ICP60,Yb_ppm_ICP60,Zn_ppm_ICP60,Zr_ppm_ICP60,Al_pct_AR,Ca_pct_AR,Fe_pct_AR,K_pct_AR,Mg_pct_AR,Na_pct_AR,S_pct_AR,Ti_pct_AR,Ag_ppm_AR,As_ppm_AR,Au_ppm_AR,B_ppm_AR,Ba_ppm_AR,Be_ppm_AR,Bi_ppm_AR,Cd_ppm_AR,Ce_ppm_AR,Co_ppm_AR,Cr_ppm_AR,Cs_ppm_AR,Cu_ppm_AR,Ga_ppm_AR,Ge_ppm_AR,Hf_ppm_AR,Hg_ppm_AR,In_ppm_AR,La_ppm_AR,Li_ppm_AR,Mn_ppm_AR,Mo_ppm_AR,Nb_ppm_AR,Ni_ppm_AR,P_ppm_AR,Pb_ppm_AR,Rb_ppm_AR,Re_ppm_AR,Sb_ppm_AR,Sc_ppm_AR,Se_ppm_AR,Sn_ppm_AR,Sr_ppm_AR,Ta_ppm_AR,Te_ppm_AR,Th_ppm_AR,Tl_ppm_AR,U_ppm_AR,V_ppm_AR,W_ppm_AR,Y_ppm_AR,Zn_ppm_AR,Zr_ppm_AR,Au_ppb_FA,Pd_ppb_FA,Pt_ppb_FA,Al2O3_pct_WDX,BaO_pct_WDX,CaO_pct_WDX,Cr2O3_pct_WDX,Fe2O3_pct_WDX,K2O_pct_WDX,LOI_pct_WDX,MgO_pct_WDX,MnO_pct_WDX,Na2O_pct_WDX,P2O5_pct_WDX,SiO2_pct_WDX,SrO_pct_WDX,TiO2_pct_WDX,V2O5_pct_WDX,F_pct_ISE,S_pct_IR,C_pct_IR,CO2_pct_CARB,CRBNT_pct_CARB,Hg_ppm_CVAAS,Organic_C_pct_C,Al2O3_pct_ICP16,Ba_ppm_ICP16,CaO_pct_ICP16,Cr2O3_pct_ICP16,Fe2O3_pct_ICP16,K2O_pct_ICP16,MgO_pct_ICP16,MnO_pct_ICP16,Na2O_pct_ICP16,P2O5_pct_ICP16,SiO2_pct_ICP16,Sr_ppm_ICP16,TiO2_pct_ICP16,V2O5_pct_ICP16,Au_ppm_FA_ORE,Pd_ppm_FA_ORE,Pt_ppm_FA_ORE,Ag_ppm_ICP42C,As_ppm_ICP42C,Be_ppm_ICP42C,Bi_ppm_ICP42C,Cd_ppm_ICP42C,Co_ppm_ICP42C,Cu_ppm_ICP42C,Li_ppm_ICP42C,Mo_ppm_ICP42C,Na_ppm_ICP42C,Ni_ppm_ICP42C,P_ppm_ICP42C,Pb_ppm_ICP42C,Sb_ppm_ICP42C,Se_ppm_ICP42C,Sn_ppm_ICP42C,Tl_ppm_ICP42C,Y_ppm_ICP42C,Zn_ppm_ICP42C,Ce_ppm_ICPREE,Dy_ppm_ICPREE,Er_ppm_ICPREE,Eu_ppm_ICPREE,Gd_ppm_ICPREE,Ho_ppm_ICPREE,La_ppm_ICPREE,Lu_ppm_ICPREE,Nd_ppm_ICPREE,Pr_ppm_ICPREE,Sm_ppm_ICPREE,Tb_ppm_ICPREE,Th_ppm_ICPREE,Tm_ppm_ICPREE,U_ppm_ICPREE,Yb_ppm_ICPREE,Co_pct_WDXRFBM,Cu_pct_WDXRFBM,Fe_pct_WDXRFBM,Ni_pct_WDXRFBM,Pb_pct_WDXRFBM,Zn_pct_WDXRFBM,Au_ppb_PGE,Ir_ppb_PGE,Pd_ppb_PGE,Pt_ppb_PGE,Re_ppb_PGE,Rh_ppb_PGE,Ru_ppb_PGE,Ag_ppb_H2O,Al_ppb_H2O,As_ppb_H2O,Au_ppb_H2O,B_ppb_H2O,Ba_ppb_H2O,Be_ppb_H2O,Bi_ppb_H2O,Ca_ppb_H2O,Cd_ppb_H2O,Ce_ppb_H2O,Co_ppb_H2O,Cr_ppb_H2O,Cs_ppb_H2O,Cu_ppb_H2O,Dy_ppb_H2O,Er_ppb_H2O,Eu_ppb_H2O,Fe_ppb_H2O,Ga_ppb_H2O,Gd_ppb_H2O,Ge_ppb_H2O,Hf_ppb_H2O,Hg_ppb_H2O,Ho_ppb_H2O,In_ppb_H2O,K_ppb_H2O,La_ppb_H2O,Li_ppb_H2O,Lu_ppb_H2O,Mg_ppb_H2O,Mn_ppb_H2O,Mo_ppb_H2O,Na_ppb_H2O,Nb_ppb_H2O,Nd_ppb_H2O,Ni_ppb_H2O,P_ppb_H2O,Pb_ppb_H2O,Pr_ppb_H2O,Rb_ppb_H2O,Re_ppb_H2O,S_ppb_H2O,Sb_ppb_H2O,Sc_ppb_H2O,Se_ppb_H2O,Si_ppb_H2O,Sm_ppb_H2O,Sn_ppb_H2O,Sr_ppb_H2O,Ta_ppb_H2O,Tb_ppb_H2O,Te_ppb_H2O,Th_ppb_H2O,Ti_ppb_H2O,Tl_ppb_H2O,Tm_ppb_H2O,U_ppb_H2O,V_ppb_H2O,W_ppb_H2O,Y_ppb_H2O,Yb_ppb_H2O,Zn_ppb_H2O,Zr_ppb_H2O,Ag_ppb_ICPH2O,Al_ppb_ICPH2O,As_ppb_ICPH2O,Au_ppb_ICPH2O,B_ppb_ICPH2O,Ba_ppb_ICPH2O,Be_ppb_ICPH2O,Bi_ppb_ICPH2O,Ca_ppb_ICPH2O,Cd_ppb_ICPH2O,Ce_ppb_ICPH2O,Co_ppb_ICPH2O,Cr_ppb_ICPH2O,Cs_ppb_ICPH2O,Cu_ppb_ICPH2O,Dy_ppb_ICPH2O,Er_ppb_ICPH2O,Eu_ppb_ICPH2O,Fe_ppb_ICPH2O,Ga_ppb_ICPH2O,Gd_ppb_ICPH2O,Ge_ppb_ICPH2O,Hf_ppb_ICPH2O,Hg_ppb_ICPH2O,Ho_ppb_ICPH2O,In_ppb_ICPH2O,K_ppb_ICPH2O,La_ppb_ICPH2O,Li_ppb_ICPH2O,Lu_ppb_ICPH2O,Mg_ppb_ICPH2O,Mn_ppb_ICPH2O,Mo_ppb_ICPH2O,Na_ppb_ICPH2O,Nb_ppb_ICPH2O,Nd_ppb_ICPH2O,Ni_ppb_ICPH2O,P_ppb_ICPH2O,Pb_ppb_ICPH2O,Pr_ppb_ICPH2O,Rb_ppb_ICPH2O,Re_ppb_ICPH2O,S_ppb_ICPH2O,Sb_ppb_ICPH2O,Sc_ppb_ICPH2O,Se_ppb_ICPH2O,Si_ppb_ICPH2O,Sm_ppb_ICPH2O,Sn_ppb_ICPH2O,Sr_ppb_ICPH2O,Ta_ppb_ICPH2O,Tb_ppb_ICPH2O,Te_ppb_ICPH2O,Th_ppb_ICPH2O,Ti_ppb_ICPH2O,Tl_ppb_ICPH2O,Tm_ppb_ICPH2O,U_ppb_ICPH2O,V_ppb_ICPH2O,W_ppb_ICPH2O,Y_ppb_ICPH2O,Yb_ppb_ICPH2O,Zn_ppb_ICPH2O,Zr_ppb_ICPH2O,Al_pct_ICP61,Ca_pct_ICP61,Fe_pct_ICP61,K_pct_ICP61,Mg_pct_ICP61,P_pct_ICP61,S_pct_ICP61,Si_pct_ICP61,Ti_pct_ICP61,Ag_ppm_ICP61,As_ppm_ICP61,B_ppm_ICP61,Ba_ppm_ICP61,Be_ppm_ICP61,Bi_ppm_ICP61,Cd_ppm_ICP61,Ce_ppm_ICP61,Co_ppm_ICP61,Cr_ppm_ICP61,Cs_ppm_ICP61,Cu_ppm_ICP61,Dy_ppm_ICP61,Er_ppm_ICP61,Eu_ppm_ICP61,Ga_ppm_ICP61,Gd_ppm_ICP61,Ge_ppm_ICP61,Hf_ppm_ICP61,Ho_ppm_ICP61,In_ppm_ICP61,La_ppm_ICP61,Li_ppm_ICP61,Lu_ppm_ICP61,Mn_ppm_ICP61,Mo_ppm_ICP61,Nb_ppm_ICP61,Nd_ppm_ICP61,Ni_ppm_ICP61,Pb_ppm_ICP61,Pr_ppm_ICP61,Rb_ppm_ICP61,Re_ppm_ICP61,Sb_ppm_ICP61,Sc_ppm_ICP61,Se_ppm_ICP61,Sm_ppm_ICP61,Sn_ppm_ICP61,Sr_ppm_ICP61,Ta_ppm_ICP61,Tb_ppm_ICP61,Te_ppm_ICP61,Th_ppm_ICP61,Tl_ppm_ICP61,Tm_ppm_ICP61,U_ppm_ICP61,V_ppm_ICP61,W_ppm_ICP61,Y_ppm_ICP61,Yb_ppm_ICP61,Zn_ppm_ICP61,Zr_ppm_ICP61
1,AGV-1,Preferred,9.08,3.53,4.47,2.42,0.92,0.22,<0.01,27.5,0.63,<1,<5,<10,1230,<5,<0.1,<0.2,,15,10,1.3,60,3.6,1.7,1.6,20,5,1.3,5.1,,<0.2,38,12,0.27,710,2.7,15,33,16,36,7.6,67,,4.3,12,,5.9,4.2,660,0.9,,,6.5,<0.5,0.34,1.92,120,<1,20,1.72,88,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.14,4.94,<0.01,6.77,2.92,1.2,1.53,0.09,4.26,0.5,58.8,0.08,1.05,0.02,0.04,,,,,,,17.15,,4.94,,6.77,2.92,1.53,0.09,4.26,0.5,58.84,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,3.53,4.47,2.42,0.92,0.22,<0.01,27.5,0.63,<1,<5,<10,1230,<5,<0.1,<0.2,,15,10,1.3,60,3.6,1.7,1.6,20,5,1.3,5.1,,<0.2,38,12,0.27,710,2.7,15,33,16,36,7.6,67,,4.3,12,,5.9,4.2,660,0.9,,,6.5,<0.5,0.34,1.92,120,<1,20,1.72,88,227
2,AGV-1,Mean,9.15,3.42,4.72,2.4,0.88,0.21,<0.01,27.86,0.6,<1,<30,<10,1188,<5,<0.1,<0.2,69.2,15.1,13,1.32,57.4,3.63,1.86,1.7,20.2,4.88,1,5.4,0.69,<0.2,38.2,10.3,0.26,722,3.4,13.8,31.7,19.2,37.8,8.66,70,,4.5,11,<5,5.78,4.8,651,0.7,0.65,<1,6.54,<0.5,0.27,1.99,114,<1,19,1.66,91,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.14,4.98,<0.01,6.84,2.95,1.92,1.53,0.09,4.2,0.5,59.4,0.07,1.09,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,3.42,4.72,2.4,0.88,0.21,<0.01,27.86,0.6,<1,<30,<10,1188,<5,<0.1,<0.2,69.2,15.1,13,1.32,57.4,3.63,1.86,1.7,20.2,4.88,1,5.4,0.69,<0.2,38.2,10.3,0.26,722,3.4,13.8,31.7,19.2,37.8,8.66,70,,4.5,11,<5,5.78,4.8,651,0.7,0.65,<1,6.54,<0.5,0.27,1.99,114,<1,19,1.66,91,216
3,AMH-1,Preferred,9.54,4.5,4.37,1.1,1.98,0.08,<0.01,29.6,0.52,<1,<30,<10,316,<5,<0.1,<0.2,32.7,18.1,39,0.2,22,2.91,1.54,1.24,21,3.45,1,4,0.56,<0.2,15.9,13,0.22,,<2,8,16.7,34,9,4.12,19,,0.6,13,,3.6,1,550,<0.5,0.54,<1,2.5,<0.5,0.23,0.84,108,<1,14.8,1.5,68,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.72,0.03,6.08,0.04,6.04,1.25,,3.23,0.1,4.2,0.18,60.5,0.05,0.85,0.01,0.04,,,,,,,17.53,,6.06,,6.1,1.23,3.16,0.09,4.21,0.17,60.34,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,4.5,4.37,1.1,1.98,0.08,<0.01,29.6,0.52,<1,<30,<10,316,<5,<0.1,<0.2,32.7,18.1,39,0.2,22,2.91,1.54,1.24,21,3.45,1,4,0.56,<0.2,15.9,13,0.22,,<2,8,16.7,34,9,4.12,19,,0.6,13,,3.6,1,550,<0.5,0.54,<1,2.5,<0.5,0.23,0.84,108,<1,14.8,1.5,68,151
4,AMH-1,Mean,8.93,4.5,4.35,1.1,2.01,0.08,<0.01,28.3,0.52,<1,<5,23,327,<5,<0.1,<0.2,36.3,17.8,42,0.3,33,2.94,1.57,1.17,19,3.59,1,4,0.58,<0.2,16.6,14,0.22,784,,8,17.6,42,9,4.39,19.2,<0.02,0.7,13,<5,3.7,1,567,0.5,0.51,<0.5,2.6,<0.5,0.24,0.9,116,<1,14.5,1.4,77,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,1,<10,17.54,0.04,5.97,<0.01,6.1,1.23,0.08,3.2,0.1,4.2,0.17,60.65,0.05,0.83,0.02,0.18,0.07,0.17,0.31,0.08,0.27,,18.4,,632,,6.39,1.35,3.38,0.1,4.58,0.18,63.1,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.93,4.5,4.35,1.1,2.01,0.08,<0.01,28.3,0.52,<1,<5,23,327,<5,<0.1,<0.2,36.3,17.8,42,0.3,33,2.94,1.57,1.17,19,3.59,1,4,0.58,<0.2,16.6,14,0.22,784,,8,17.6,42,9,4.39,19.2,<0.02,0.7,13,<5,3.7,1,567,0.5,0.51,<0.5,2.6,<0.5,0.24,0.9,116,<1,14.5,1.4,77,139
5,BCR-2,Preferred,7.14,5.09,9.65,1.49,2.16,0.15,0.03,25.29,1.35,<1,<5,<10,683,<5,<0.1,<0.2,53,37,18,1.1,19,6,3.7,2,23,6.8,1.5,4.8,1.33,<0.2,25,<10,0.51,1520,248,11,28,15,11,6.8,48,,0.4,33,<0.5,6.7,2,346,0.7,1.07,<0.5,6.2,<0.5,0.54,1.69,416,<1,37,3.5,127,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.08,7.12,<0.01,13.8,1.79,0.28,3.59,0.2,3.16,0.35,54.1,,2.26,0.07,0.04,<0.05,0.02,0.025,0.01,<0.01,,13.5,,7.12,,13.8,1.79,3.59,0.2,3.16,0.35,54.1,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,5.09,9.65,1.49,2.16,0.15,0.03,25.29,1.35,<1,<5,<10,683,<5,<0.1,<0.2,53,37,18,1.1,19,6,3.7,2,23,6.8,1.5,4.8,1.33,<0.2,25,<10,0.51,1520,248,11,28,15,11,6.8,48,,0.4,33,<0.5,6.7,2,346,0.7,1.07,<0.5,6.2,<0.5,0.54,1.69,416,<1,37,3.5,127,188
6,BCR-2,Mean,7,4.97,9.43,1.52,2.11,0.16,0.03,25.27,1.33,<1,<30,<10,669.78,<5,<0.1,0.44,52.17,38.08,18.43,1.19,17.91,6.39,3.65,1.95,22.45,6.78,1.73,4.94,1.28,<0.2,25.05,<10,0.52,1502,257.43,11.44,28.32,15.99,11.69,6.8,47.78,<0.02,0.38,31.32,<1,6.45,2.32,337.4,0.69,1.07,<1,6.13,<0.5,0.53,1.71,412.48,<1,33.9,3.35,129.64,174.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,<10,13.47,0.08,7.14,<0.01,13.82,1.8,0.28,3.59,0.2,3.15,0.36,54.2,0.03,2.28,0.08,0.05,<0.05,0.02,<0.01,<0.01,0.003,,13.44,,7.2,,13.86,1.79,3.67,0.2,3.13,0.36,55.16,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.97,9.43,1.52,2.11,0.16,0.03,25.27,1.33,<1,<30,<10,669.78,<5,<0.1,0.44,52.17,38.08,18.43,1.19,17.91,6.39,3.65,1.95,22.45,6.78,1.73,4.94,1.28,<0.2,25.05,<10,0.52,1502,257.43,11.44,28.32,15.99,11.69,6.8,47.78,<0.02,0.38,31.32,<1,6.45,2.32,337.4,0.69,1.07,<1,6.13,<0.5,0.53,1.71,412.48,<1,33.9,3.35,129.64,174.35
7,BHVO-2,Preferred,7.16,8.17,8.63,0.43,4.36,0.12,,23.34,1.63,<1,<30,,130,<5,<0.1,<0.2,38,45,280,0.13,127,5.4,2.6,2,21,6.3,1.9,4.1,1.02,<0.2,15,5,0.28,1301,4,16,18,119,8,5.3,9.8,,0.18,30,,6.2,1.9,389,1,0.9,,1.2,<0.5,0.34,0.43,317,<1,26,2,103,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.01,11.4,0.04,12.3,0.52,,7.23,,2.22,0.27,49.9,,2.73,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,8.17,8.63,0.43,4.36,0.12,,23.34,1.63,<1,<30,,130,<5,<0.1,<0.2,38,45,280,0.13,127,5.4,2.6,2,21,6.3,1.9,4.1,1.02,<0.2,15,5,0.28,1301,4,16,18,119,8,5.3,9.8,,0.18,30,,6.2,1.9,389,1,0.9,,1.2,<0.5,0.34,0.43,317,<1,26,2,103,172
8,BHVO-2,Mean,7.13,7.87,8.47,0.45,4.3,0.12,,24.38,1.59,<1,<30,,132.77,<5,<0.1,<0.2,37.09,45.53,278.41,0.13,136.18,5.36,2.56,2.05,22.09,6.42,1.91,4.41,0.97,<0.2,15.27,<10,0.31,1310,4.52,16.82,24.23,119.66,<5,5.31,9.35,,0.2,31.3,,6.01,2.26,388.75,1.03,0.97,<0.5,1.34,<0.5,0.34,0.43,320.84,<1,24.91,2.01,101.89,157.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,0.02,11.51,0.04,12.48,0.51,<0.01,7.24,0.17,2.23,0.27,49.97,,2.79,0.06,,<0.05,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,7.87,8.47,0.45,4.3,0.12,,24.38,1.59,<1,<30,,132.77,<5,<0.1,<0.2,37.09,45.53,278.41,0.13,136.18,5.36,2.56,2.05,22.09,6.42,1.91,4.41,0.97,<0.2,15.27,<10,0.31,1310,4.52,16.82,24.23,119.66,<5,5.31,9.35,,0.2,31.3,,6.01,2.26,388.75,1.03,0.97,<0.5,1.34,<0.5,0.34,0.43,320.84,<1,24.91,2.01,101.89,157.43
9,BIR-1,Preferred,8.2,9.51,7.9,0.02,5.85,0.01,,22.42,0.58,,<5,<10,7,<5,,,1.9,52,370,,125,4,,0.55,16,1.8,,<1,,,0.63,<10,0.26,1355,,0.6,2.5,170,<5,,,,0.58,44,,1.1,,110,,,,,,,,310,,16,1.7,70,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,<0.01,13.3,0.05,11.3,0.03,,9.7,0.18,1.82,0.02,48,0.01,0.96,0.06,<0.01,,,,,,,15.5,,13.3,0.05,11.3,0.03,9.7,0.175,1.82,0.02,47.96,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.51,7.9,0.02,5.85,0.01,,22.42,0.58,,<5,<10,7,<5,,,1.9,52,370,,125,4,,0.55,16,1.8,,<1,,,0.63,<10,0.26,1355,,0.6,2.5,170,<5,,,,0.58,44,,1.1,,110,,,,,,,,310,,16,1.7,70,18
10,BIR-1,Mean,8.44,9.25,7.89,<0.1,5.88,<0.01,0.06,23.65,0.58,<1,<5,<10,<10,<5,<0.1,<0.2,1.95,51.95,371.5,<0.1,127.5,2.59,1.69,0.53,15.65,1.9,1,<1,0.57,<0.2,0.6,<10,0.27,1300,<2,0.3,2.4,161,<5,0.39,0.3,<0.02,0.4,42.5,8,1.1,<1,110,<0.5,0.36,<0.5,<0.1,<0.5,0.27,<0.05,308.5,<1,14.1,1.6,67,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.51,<0.01,13.29,0.06,11.56,0.03,0.18,9.68,0.18,1.82,0.03,47.84,<0.01,0.97,0.06,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,9.25,7.89,<0.1,5.88,<0.01,0.06,23.65,0.58,<1,<5,<10,<10,<5,<0.1,<0.2,1.95,51.95,371.5,<0.1,127.5,2.59,1.69,0.53,15.65,1.9,1,<1,0.57,<0.2,0.6,<10,0.27,1300,<2,0.3,2.4,161,<5,0.39,0.3,<0.02,0.4,42.5,8,1.1,<1,110,<0.5,0.36,<0.5,<0.1,<0.5,0.27,<0.05,308.5,<1,14.1,1.6,67,14.2
